source_path,destination,status
/,https://on.auto/narrative-driven-development,301
/what-is-ndd,https://on.auto/narrative-driven-development,301
/how-it-works,https://on.auto/narrative-driven-development,301
/what-makes-a-narrative-buildable,https://on.auto/narrative-driven-development,301
/for-practitioners,https://on.auto/narrative-driven-development,301
/using-ndd-without-auto,https://on.auto/narrative-driven-development,301
/using-ndd-without-auto.html,https://on.auto/narrative-driven-development,301
/community,https://on.auto/narrative-driven-development,301
/guides/,https://on.auto/narrative-driven-development,301
/guides/first-narrative,https://on.auto/narrative-driven-development,301
/guides/build-concert-platform,https://on.auto/narrative-driven-development,301
/guides/lens-rental-marketplace,https://on.auto/narrative-driven-development,301
/guides/prompting-ai,https://on.auto/narrative-driven-development,301
/guides/review-a-narrative,https://on.auto/narrative-driven-development,301
/guides/structuring-narratives,https://on.auto/narrative-driven-development,301
/guides/collaborative-sessions,https://on.auto/narrative-driven-development,301
/guides/narratives-to-code,https://on.auto/narrative-driven-development,301
/reference/,https://on.auto/narrative-driven-development,301
/reference/glossary,https://on.auto/narrative-driven-development,301
/reference/moment-types,https://on.auto/narrative-driven-development,301
/explanation/,https://on.auto/narrative-driven-development,301
/explanation/anatomy-of-a-product-model,https://on.auto/narrative-driven-development,301
/explanation/cohesion,https://on.auto/narrative-driven-development,301
/explanation/data-completeness,https://on.auto/narrative-driven-development,301
/explanation/one-model-three-views,https://on.auto/narrative-driven-development,301
/explanation/progressive-control,https://on.auto/narrative-driven-development,301
/explanation/progressive-disclosure,https://on.auto/narrative-driven-development,301
/explanation/spec-dialect,https://on.auto/narrative-driven-development,301
/explanation/standing-on-shoulders,https://on.auto/narrative-driven-development,301
/explanation/origin-story,https://on.auto/narrative-driven-development,301
/*,https://on.auto/narrative-driven-development,301
